id,famid,trait1,ibdid,probnd,age
 896778,,   0.5234008600000000E-01,   0.1670000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 199251,,  -0.1242218164000000E+01,   0.1650000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 672756,,   0.1819794300000000E-01,   0.1660000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 210617,,   0.7342524070000001E+00,   0.1730000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 153429,,  -0.6588659529999999E+00,   0.1720000000000000E+03,   0.0000000000000000E+00,   0.3400000000000000E+02,
 128632,,   0.7552637510000000E+00,   0.1710000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 329440,,   0.5103584460000000E+00,   0.1780000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 249947,,  -0.1922454970000000E+00,   0.1770000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 159239,,  -0.3919436930000000E+00,   0.1760000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 562446,,  -0.3480965240000000E+00,   0.1830000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 124826,,   0.5338194950000000E+00,   0.1820000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 103111,,   0.6280891300000000E+00,   0.1810000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 611231,,   0.5461795900000000E-01,   0.1910000000000000E+03,   0.0000000000000000E+00,   0.3400000000000000E+02,
 114924,,   0.4718643810000000E+00,   0.1890000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 174437,,   0.8204173620000000E+00,   0.1880000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 732243,,   0.1945630560000000E+00,   0.1970000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 638049,,   0.6060755140000000E+00,   0.1960000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 304020,,   0.1227590510000000E+01,   0.1940000000000000E+03,   0.0000000000000000E+00,   0.3500000000000000E+02,
 307127,,  -0.4846154060000000E+00,   0.1950000000000000E+03,   0.0000000000000000E+00,   0.3400000000000000E+02,
 382242,,  -0.1293010986000000E+01,   0.2010000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 173940,,   0.6476035830000000E+00,   0.2000000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
 902242,,  -0.1106286482000000E+01,   0.2060000000000000E+03,   0.0000000000000000E+00,   0.3600000000000000E+02,
 468050,,   0.2787987500000000E+00,   0.2050000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 572045,,   0.1668175470000000E+00,   0.2110000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 393247,,  -0.9698456950000000E+00,   0.2100000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 140319,,   0.3120652630000000E+00,   0.2090000000000000E+03,   0.0000000000000000E+00,   0.3600000000000000E+02,
 734247,,  -0.5789640510000000E+00,   0.2150000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 553344,,   0.1118958381000000E+01,   0.2140000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 861456,,  -0.2201281850000000E+00,   0.2200000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 685058,,  -0.3120652630000000E+00,   0.2190000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 200614,,  -0.1065275313000000E+01,   0.2180000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 792564,,  -0.2235137114000000E+01,   0.2250000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 185139,,  -0.9625902830000000E+00,   0.2240000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 167743,,  -0.3216321330000000E+00,   0.2230000000000000E+03,   0.0000000000000000E+00,   0.2600000000000000E+02,
 214019,,   0.7312772880000000E+00,   0.2300000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 196144,,   0.8332234970000000E+00,   0.2290000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 195647,,   0.1611466698000000E+01,   0.2280000000000000E+03,   0.0000000000000000E+00,   0.3500000000000000E+02,
 953764,,   0.4491027570000000E+00,   0.2340000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 134021,,   0.3384458550000000E+00,   0.2330000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 162329,,  -0.8960315100000000E+00,   0.2390000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 144226,,   0.7827791629999999E+00,   0.2380000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 111312,,   0.9098594999999999E-02,   0.2370000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 201111,,  -0.5390727450000000E+00,   0.2440000000000000E+03,   0.0000000000000000E+00,   0.2900000000000000E+02,
 197550,,  -0.9235572540000000E+00,   0.2430000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 568963,,   0.7704781120000000E+00,   0.2490000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 162026,,  -0.3748070200000000E+00,   0.2480000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 122620,,  -0.1014498746000000E+01,   0.2470000000000000E+03,   0.0000000000000000E+00,   0.2600000000000000E+02,
 366446,,  -0.5026007400000000E+00,   0.2530000000000000E+03,   0.0000000000000000E+00,   0.2400000000000000E+02,
 133827,,  -0.8526933110000000E+00,   0.2520000000000000E+03,   0.0000000000000000E+00,   0.2500000000000000E+02,
 198451,,   0.5762764880000000E+00,   0.2560000000000000E+03,   0.0000000000000000E+00,   0.2600000000000000E+02,
 889579,,  -0.1552959330000000E+00,   0.2610000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 239136,,   0.1071114740000000E+00,   0.2600000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 182739,,  -0.1511459160000000E+01,   0.2590000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 729557,,   0.9919249860000000E+00,   0.2660000000000000E+03,   0.0000000000000000E+00,   0.2400000000000000E+02,
 194140,,  -0.2740723290000000E+00,   0.2650000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 172332,,   0.3674965850000000E+00,   0.2640000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 322224,,  -0.3821375420000000E+00,   0.2710000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 297655,,  -0.1645115010000000E+00,   0.2700000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 171532,,  -0.1645734116000000E+01,   0.2690000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 156233,,   0.6560425720000000E+00,   0.2770000000000000E+03,   0.0000000000000000E+00,   0.2500000000000000E+02,
 390645,,  -0.6504114280000000E+00,   0.2760000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 161327,,   0.1628361407000000E+01,   0.2750000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 826353,,   0.9340613790000000E+00,   0.2820000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 499566,,   0.5077691530000000E+00,   0.2810000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 150423,,   0.1057285902000000E+01,   0.2800000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 680957,,   0.1578993412000000E+01,   0.2870000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 654754,,  -0.5311983930000000E+00,   0.2860000000000000E+03,   0.0000000000000000E+00,   0.3400000000000000E+02,
 102816,,   0.1795366782000000E+01,   0.2850000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 177746,,   0.3870359650000000E+00,   0.2920000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 158035,,   0.1029839618000000E+01,   0.2910000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 118730,,  -0.7164975000000000E+00,   0.2900000000000000E+03,   0.0000000000000000E+00,   0.2300000000000000E+02,
 190132,,   0.8758249080000000E+00,   0.2970000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 121820,,   0.8892556540000000E+00,   0.2960000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 118124,,   0.8045963800000000E+00,   0.2950000000000000E+03,   0.0000000000000000E+00,   0.3400000000000000E+02,
 158540,,  -0.2622827650000000E+00,   0.3020000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 135932,,   0.2930159220000000E+00,   0.3010000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 113215,,  -0.7674210520000000E+00,   0.3000000000000000E+03,   0.0000000000000000E+00,   0.2600000000000000E+02,
 205220,,  -0.2388108340000000E+00,   0.3070000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 197348,,   0.4846154060000000E+00,   0.3060000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 144832,,  -0.3699311960000000E+00,   0.3050000000000000E+03,   0.0000000000000000E+00,   0.2200000000000000E+02,
 172635,,   0.1529941310000000E+00,   0.3110000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 114116,,  -0.5735930820000000E+00,   0.3100000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 770352,,   0.1093994600000000E+00,   0.3160000000000000E+03,   0.0000000000000000E+00,   0.2900000000000000E+02,
 727654,,  -0.1563362599000000E+01,   0.3150000000000000E+03,   0.0000000000000000E+00,   0.2500000000000000E+02,
 167036,,   0.6730626400000000E+00,   0.3140000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 214423,,  -0.8858829940000000E+00,   0.3190000000000000E+03,   0.0000000000000000E+00,   0.2300000000000000E+02,
 250932,,   0.1149248031000000E+01,   0.3240000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 112819,,  -0.5417049510000000E+00,   0.3230000000000000E+03,   0.0000000000000000E+00,   0.2900000000000000E+02,
 105014,,   0.1463335199000000E+01,   0.3220000000000000E+03,   0.0000000000000000E+00,   0.2900000000000000E+02,
 984472,,  -0.1341761555000000E+01,   0.3290000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 885975,,  -0.4415675390000000E+00,   0.3280000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 117122,,  -0.6170449440000000E+00,   0.3270000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 371843,,  -0.5338194950000000E+00,   0.3340000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 246133,,  -0.2434942940000000E+00,   0.3330000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 176542,,   0.3723680020000000E+00,   0.3320000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 463040,,   0.1137333200000000E-01,   0.3380000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 135124,,   0.6759182360000000E+00,   0.3370000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 221218,,   0.1065275313000000E+01,   0.3420000000000000E+03,   0.0000000000000000E+00,   0.2900000000000000E+02,
 168038,,  -0.1984618497000000E+01,   0.3410000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 901139,,   0.9518011830000001E+00,   0.3480000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 865363,,  -0.9567971200000000E-01,   0.3470000000000000E+03,   0.0000000000000000E+00,   0.2400000000000000E+02,
 547046,,   0.2018327459000000E+01,   0.3460000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 715950,,   0.1548104677000000E+01,   0.3530000000000000E+03,   0.0000000000000000E+00,   0.2900000000000000E+02,
 270332,,   0.1073333305000000E+01,   0.3520000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 106521,,   0.6645285420000000E+00,   0.3510000000000000E+03,   0.0000000000000000E+00,   0.2900000000000000E+02,
 894673,,   0.1314292675000000E+01,   0.3590000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 530635,,  -0.2136141567000000E+01,   0.3580000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 102715,,  -0.1668175470000000E+00,   0.3560000000000000E+03,   0.0000000000000000E+00,   0.2600000000000000E+02,
 192540,,   0.7613283360000000E+00,   0.3570000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 479762,,  -0.1463335199000000E+01,   0.3640000000000000E+03,   0.0000000000000000E+00,   0.2400000000000000E+02,
 120111,,   0.1414970200000000E+00,   0.3630000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 111413,,   0.1162669020000000E+00,   0.3620000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 351938,,  -0.8236062220000000E+00,   0.3690000000000000E+03,   0.0000000000000000E+00,   0.2500000000000000E+02,
 154431,,  -0.2411519030000000E+00,   0.3680000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 126325,,  -0.7613283360000000E+00,   0.3670000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 199150,,  -0.8892556540000000E+00,   0.3730000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 130013,,  -0.8559697370000000E+00,   0.3720000000000000E+03,   0.0000000000000000E+00,   0.2600000000000000E+02,
 688569,,  -0.1162557520000000E+01,   0.3790000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 142828,,  -0.1118958381000000E+01,   0.3780000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 131621,,  -0.8364464130000000E+00,   0.3770000000000000E+03,   0.0000000000000000E+00,   0.2800000000000000E+02,
 779370,,   0.1418379989000000E+01,   0.3850000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
 436239,,   0.1691244810000000E+00,   0.3840000000000000E+03,   0.0000000000000000E+00,   0.2900000000000000E+02,
 124220,,  -0.3505142300000000E+00,   0.3820000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 141826,,   0.1437948980000000E+00,   0.3830000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
 585862,,  -0.4116707560000000E+00,   0.3900000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
 355542,,  -0.8625503200000000E+00,   0.3890000000000000E+03,   0.0000000000000000E+00,   0.2900000000000000E+02,
 119833,,  -0.4390613830000000E+00,   0.3880000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
 255639,,  -0.1483929450000000E+00,   0.3950000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
 217429,,   0.7462185730000001E+00,   0.3940000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 100307,,   0.1899289690000000E+00,   0.3930000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
 827052,,   0.9375857250000000E+00,   0.3990000000000000E+03,   0.0000000000000000E+00,   0.2900000000000000E+02,
 987983,,  -0.2505295460000000E+00,   0.4050000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
 201818,,  -0.8658546539999999E+00,   0.4030000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 441939,,   0.7889742760000000E+00,   0.4100000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
 211417,,  -0.3894886560000000E+00,   0.4090000000000000E+03,   0.0000000000000000E+00,   0.3600000000000000E+02,
 159441,,   0.2274813500000000E-01,   0.4080000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
 753251,,  -0.1189813297000000E+01,   0.4140000000000000E+03,   0.0000000000000000E+00,   0.2900000000000000E+02,
 111009,,  -0.4718643810000000E+00,   0.4130000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
 179346,,  -0.4095455700000000E-01,   0.4190000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
 168139,,   0.1300185830000000E+00,   0.4180000000000000E+03,   0.0000000000000000E+00,   0.2500000000000000E+02,
 186545,,   0.1153661830000000E+01,   0.4240000000000000E+03,   0.0000000000000000E+00,   0.3400000000000000E+02,
 157942,,  -0.7522418570000000E+00,   0.4230000000000000E+03,   0.0000000000000000E+00,   0.3600000000000000E+02,
 951457,,  -0.3529339860000000E+00,   0.4300000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 412528,,  -0.7077043800000000E+00,   0.4290000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 157437,,  -0.4440764730000000E+00,   0.4280000000000000E+03,   0.0000000000000000E+00,   0.2900000000000000E+02,
 859671,,   0.1829854470000000E+00,   0.4360000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 137128,,  -0.1069295630000000E+01,   0.4340000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 136833,,  -0.7858729490000000E+00,   0.4330000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 149539,,  -0.3185002600000000E-01,   0.4420000000000000E+03,   0.0000000000000000E+00,   0.2400000000000000E+02,
 130922,,   0.1097936302000000E+01,   0.4410000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 105216,,   0.6601181200000000E-01,   0.4390000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
